Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
RELIANCE,RELIANCE INDUSTRIES LTD,1373.8,INR,-0.6364819904527669,7126128,0.7322398747614856,18710673648547,INR,22.80915553991187,60.2302,INR,18.554517575456956,0.361624416880628,Energy minerals,Strong buy
HDFCBANK,HDFC BANK LTD,1991.1,INR,0.5453719133464604,8755858,1.1825049631980562,15191353526467,INR,21.658870880017403,91.93,INR,2.7380420205632574,1.11147598959254,Finance,Strong buy
TCS,TATA CONSULTANCY SERV LTD,3022.3,INR,-0.457809103484607,3342174,1.4130394341777757,10983066471884,INR,22.192573054928143,136.1852,INR,5.628960062174297,2.00948741599684,Technology services,Buy
AIRTELPP.E1,AIRTEL RS. 1.25 PPD UP,1419.95,INR,0.07047464674583319,1088607,3.931267896164059,10645276857422,INR,,,,,0.282137189208252,Communications,Neutral
BHARTIARTL,BHARTI AIRTEL LTD,1873.8,INR,0.3427225018742564,3958631,0.28633993784665124,10645276857422,INR,32.26806360621183,58.0698,INR,250.5169947304565,0.856531049250535,Communications,Buy
ICICIBANK,ICICI BANK LTD.,1427.3,INR,0.45748873873873874,7577793,0.9260238733471682,10145917554962,INR,19.809854267869536,72.05,INR,13.67939413064057,0.703655490271963,Finance,Strong buy
SBIN,STATE BANK OF INDIA,826.55,INR,0.5718805134756868,7087573,0.7023708803907054,7588952948941,INR,9.286056142132663,89.0098,INR,17.03915646412356,1.93395365809159,Finance,Strong buy
INFY,INFOSYS LTD,1447.7,INR,1.479041076685836,12902347,1.4065952651801197,5923993225586,INR,22.040106691350207,65.6848,INR,2.1414231888249753,3.01542776998597,Technology services,Buy
HINDUNILVR,HINDUSTAN UNILEVER LTD.,2480.6,INR,-0.5811390325037074,1104362,0.621985464616432,5862347909233,INR,53.99158109184619,45.9442,INR,4.471109352652137,1.7234123564658,Consumer non-durables,Buy
LICI,LIFE INSURA CORP OF INDIA,887.75,INR,0.028169014084507043,761942,0.6024046948133356,5593195263855,INR,11.521993347030369,77.0483,INR,16.51599653998076,1.35700554110596,Finance,Buy
BAJFINANCE,BAJAJ FINANCE LTD,861.45,INR,0.168604651162796,5379250,0.9210053651248445,5347082998978,INR,30.694815606627472,28.065,INR,15.751051719871331,0.511360334708583,Finance,Buy
ITC,ITC LTD,411.45,INR,-0.6399420429847945,9580361,0.7727935894557092,5185504441406,INR,14.760008609556607,27.876,INR,70.48081509840135,3.46618357487923,Consumer non-durables,Strong buy
LT,LARSEN & TOUBRO LTD.,3677,INR,-0.45212117930529866,1769702,1.2519997342766698,5079421350189,INR,31.882424347524495,115.33,INR,11.255490183027,0.920723038386027,Industrial services,Strong buy
M&M,MAHINDRA & MAHINDRA LTD,3265.4,INR,-0.511851806715,1508721,0.5693776886984121,4082070122806,INR,26.726141758061875,122.18,INR,23.814349412241587,0.770718779035231,Consumer durables,Strong buy
HCLTECH,HCL TECHNOLOGIES LTD,1489.8,INR,-0.7527812937179372,4227538,1.74560011561529,4071583090861,INR,23.80252436491452,62.59,INR,3.3861909481334727,3.59904025593175,Technology services,Neutral
MARUTI,MARUTI SUZUKI INDIA LTD.,12936,INR,0.7947639083683964,318580,1.0408117926870704,4034004954293,INR,27.98554685826757,462.2386,INR,-2.9037586047036226,0.97422588011566,Consumer durables,Buy
KOTAKBANK,KOTAK MAHINDRA BANK LTD,1978.2,INR,-0.4779393268601902,1984593,0.538294546343117,3953217413474,INR,20.538195832351345,96.3181,INR,-10.831518051141432,0.125745039358197,Finance,Buy
SUNPHARMA,SUN PHARMACEUTICAL IND L,1641.4,INR,0.09757287474083037,1738094,0.6406702537591542,3933734085255,INR,37.97005699903768,43.2288,INR,-0.1676620155468445,0.975877527370315,Health technology,Buy
ULTRACEMCO,ULTRATECH CEMENT LTD,12317,INR,-0.6773647286509152,235741,1.0743286044360185,3649635843119,INR,51.467881359367155,239.3143,INR,-1.5775035986016872,0.625168896435731,Non-energy minerals,Buy
AXISBANK,AXIS BANK LTD,1068.2,INR,0.20637898686679598,6761305,1.2859313982647362,3307772609527,INR,11.93786320965579,89.48,INR,3.913598885146911,0.0937822376441902,Finance,Buy
NTPC,NTPC LTD,339.35,INR,-0.1764965436093443,5689423,0.6145750771812848,3296381730379,INR,13.734195658156741,24.7084,INR,11.89080995897223,2.42682747462862,Utilities,Strong buy
TITAN,TITAN COMPANY LTD,3489.4,INR,0.6518980039229234,597987,0.8030373736078538,3077688354863,INR,83.37554597673686,41.8516,INR,7.572727693327912,0.317304641301526,Consumer durables,Buy
BAJAJFINSV,BAJAJ FINSERV LTD.,1925.1,INR,0.5589218554116077,765742,0.8238751230042539,3057575362553,INR,32.51858108108108,59.2,INR,13.821200736761558,0.052257525083612,Finance,Buy
HAL,HINDUSTAN AERONAUTICS LTD,4555.1,INR,0.6785430112280243,1265929,1.0660544509848504,3025672096074,INR,36.65542484354392,124.2681,INR,0.809931394332917,0.839927500994651,Electronic technology,Buy
ETERNAL,ETERNAL LTD,318.4,INR,1.9369297262685943,45892250,0.7384181263523137,3013804370186,INR,957.8820697954272,0.3324,INR,-51.81910421800261,0,Transportation,Buy
ONGC,OIL AND NATURAL GAS CORP.,236.94,INR,-0.7248502115892194,7258450,0.8320238195783464,3006057699596,INR,8.275067230119094,28.633,INR,-18.383111663464664,5.64971751412429,Energy minerals,Buy
ADANIPORTS,ADANI PORT & SEZ LTD,1300.3,INR,-1.4625644134586204,2298528,1.2593255937482108,2850843334412,INR,24.86994109096473,52.284,INR,23.991519515075623,0.530403485508619,Transportation,Strong buy
BEL,BHARAT ELECTRONICS LTD,384.9,INR,-1.0158158673010276,8046552,0.7313406476741453,2842041911551,INR,51.152220716051346,7.5246,INR,29.81505762197226,0.59156378600823,Electronic technology,Buy
DMART,AVENUE SUPERMARTS LTD,4358.2,INR,0.5444562358695024,646059,1.6743842858612714,2820374508077,INR,104.99156829679595,41.51,INR,2.0905066404328614,0,Retail trade,Neutral
POWERGRID,POWER GRID CORP. LTD.,288.7,INR,0.1734906315058987,8464495,0.792107332876321,2682759197615,INR,17.46109508343464,16.5339,INR,-2.0532567163295057,3.64014560582423,Utilities,Buy
ADANIENT,ADANI ENTERPRISES LTD,2281.6,INR,0.06578658830753037,998109,0.7930094712173841,2632570842377,INR,41.14289835994626,55.4555,INR,57.20907158043941,0.0569950458152484,Distribution services,Strong buy
JSWSTEEL,JSW STEEL LTD,1045.5,INR,-0.7782101167315217,870899,0.4884602329311321,2576774867409,INR,52.79823046389722,19.8018,INR,-33.927927927927925,0.265730283761982,Non-energy minerals,Neutral
WIPRO,WIPRO LTD,246.81,INR,2.135319677219117,12857225,1.9139167266829868,2530822096820,INR,19.226005468439624,12.8373,INR,20.286161371025933,4.55203807159114,Technology services,Neutral
TATAMOTORS,TATA MOTORS LTD,664.6,INR,0.1280602636534874,6250494,0.5569414331392348,2443182802204,INR,11.549804404079797,57.5421,INR,-34.2571350227361,0.904159132007233,Consumer durables,Neutral
ASIANPAINT,ASIAN PAINTS LTD,2528.7,INR,1.1399088072954164,1088550,0.9298978893440734,2398282190928,INR,67.41114748504462,37.5116,INR,-29.172614327253505,0.991880974283086,Process industries,Neutral
COALINDIA,COAL INDIA LTD,384.45,INR,-0.42735042735043616,4034887,0.5372519998284474,2379429517497,INR,7.14880750936253,53.7782,INR,-6.6700681688811185,6.82465682465683,Energy minerals,Buy
INDIGO,INTERGLOBE AVIATION LTD,6002.5,INR,0.5528101181003434,767646,0.8952885406435008,2307364751815,INR,34.64446496594714,173.26,INR,-14.257435542138863,0,Transportation,Buy
