Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
NVDA,NVIDIA Corporation,181.51,USD,-0.044055289388189055,72559719,0.45147291059554173,4428843910684.365,USD,58.46674182638106,3.1045,USD,81.60280783854927,0.0220276446940911,Electronic technology,Strong buy
MSFT,Microsoft Corporation,523.16,USD,0.49560106035574303,7512153,0.31752665133267916,3888735515844.647,USD,38.35034013605442,13.6416,USD,15.596003762361141,0.622382726958392,Technology services,Strong buy
AAPL,Apple Inc.,231.64,USD,-0.7242960613723165,25779947,0.3205209694393758,3437627885140.3267,USD,35.21328022863397,6.5782,USD,0.15682333774874735,0.432863326618952,Electronic technology,Buy
GOOGL,Alphabet Inc.,203.8095,USD,0.9157754010695218,12114030,0.3774343344321702,2470735438928.6074,USD,21.708419875379455,9.3885,USD,34.66972674460303,0.401069518716578,Technology services,Strong buy
GOOG,Alphabet Inc.,204.765,USD,0.8545535142589692,7158078,0.3542848554021282,2469236534671.2725,USD,21.810193321616868,9.3885,USD,34.66972674460303,0.398955819337044,Technology services,Strong buy
AMZN,"Amazon.com, Inc.",230.105,USD,2.4692732454577784,27336788,0.4634803468440039,2454049574247.5537,USD,35.11552313514833,6.5528,USD,56.99465727497067,0,Retail trade,Strong buy
META,"Meta Platforms, Inc.",785.4,USD,0.6819813352476587,4129915,0.29006492369551695,1972895314022.2344,USD,28.44333062927338,27.6128,USD,40.97873535343221,0.262793559634909,Technology services,Strong buy
AVGO,Broadcom Inc.,309.41,USD,0.10352971626388756,6963696,0.39539507921493455,1455301004090.4177,USD,116.31080369897,2.6602,USD,14.446738943383252,0.744119835646575,Electronic technology,Strong buy
TSLA,"Tesla, Inc.",331.55,USD,-2.3071483293063775,40314604,0.5031401953864267,1069397622917.4541,USD,192.00254806578644,1.7268,USD,-51.50391776897801,0,Consumer durables,Neutral
BRK.B,Berkshire Hathaway Inc. New,476.485,USD,-0.17284364459156284,1670879,0.30371784470281904,1027680624426.9592,USD,16.329835359918846,29.1788,USD,-7.203918076580589,0,Finance,Buy
WMT,Walmart Inc.,100.89,USD,-0.09901970492127371,3757111,0.2233105279018439,805144351836.006,USD,43.28185328185328,2.331,USD,-0.4186602870813505,0.854082223508975,Retail trade,Strong buy
JPM,JP Morgan Chase & Co.,292.3571,USD,0.6288851409493099,2146418,0.25518282565506056,803910002990.9308,USD,15.000749121321737,19.4895,USD,8.70498862165901,1.80980023903022,Finance,Buy
ORCL,Oracle Corporation,244.845,USD,0.2723400769923794,4722774,0.4236755712378538,687728697169.1676,USD,56.40420189361652,4.3409,USD,17.115877512478086,0.709052233514535,Technology services,Buy
V,Visa Inc.,343.045,USD,0.14450445190483271,2079277,0.2977198783631958,660910769846.7067,USD,33.863930267223424,10.1301,USD,10.047581801590416,0.680049890122943,Finance,Buy
LLY,Eli Lilly and Company,675.324,USD,2.2459083407772935,4265968,0.48952350450509013,639164932629.0009,USD,44.780383003554185,15.0808,USD,88.38048841421524,0.875779991554979,Health technology,Buy
NFLX,"Netflix, Inc.",1241.45,USD,3.0727973165952633,2064170,0.6922776914346485,527524767418.1853,USD,52.9039763744295,23.4661,USD,46.643877991013696,0,Technology services,Buy
MA,Mastercard Incorporated,576.2225,USD,-0.29027513410624833,830290,0.28680366027087756,520911981554.8529,USD,38.87013214789231,14.8243,USD,13.273274650039731,0.512034553624299,Finance,Buy
XOM,Exxon Mobil Corporation,106.8,USD,-0.743494423791819,4472918,0.2691621818167726,455314780652.11896,USD,15.14163382198656,7.0534,USD,-15.554438139022588,3.69358334118534,Energy minerals,Buy
COST,Costco Wholesale Corporation,985.58,USD,0.6875415027838808,743256,0.317371474023915,437082130884.69855,USD,55.90579319655347,17.6293,USD,9.270714533644068,0.488328140164479,Retail trade,Buy
PLTR,Palantir Technologies Inc.,181.1,USD,-1.7736074198622391,27649202,0.39015926436275555,429631572973.4772,USD,601.8610834164174,0.3009,USD,77.10417892878164,0,Technology services,Neutral
JNJ,Johnson & Johnson,174.47,USD,0.028666437335174502,2804007,0.3201258424788647,420182877747.0953,USD,18.659893048128342,9.35,USD,35.14880823323648,2.90542886908207,Health technology,Buy
HD,"Home Depot, Inc. (The)",401.76,USD,-1.331106635885853,1103737,0.3660353649875712,399722257458.44293,USD,27.25589031430839,14.7403,USD,-1.110306055360999,2.2979797979798,Retail trade,Buy
ABBV,AbbVie Inc.,204.265,USD,1.3873033205936307,1422133,0.27181507630599705,360846018534.89166,USD,97.20887069909102,2.1013,USD,-29.71770687002474,3.25714861055175,Health technology,Buy
PG,Procter & Gamble Company (The),153.69,USD,-1.1067498873946329,2536578,0.3392143569021199,359999096924.9745,USD,23.620268338789245,6.5067,USD,8.1008788689339,2.6607776129989,Consumer non-durables,Buy
